"FRAMES","YOLO","TM_CCOEFF_NORMED","TM_CCORR_NORMED","TM_SQDIFF_NORMED"
1,3,3,3,3
2,3,3,3,3
3,3,3,3,3
4,3,3,3,3
5,3,3,3,3
6,3,3,3,3
7,3,3,3,3
8,3,3,3,3
9,3,3,3,3
10,3,3,3,3
11,3,3,3,3
12,3,3,3,3
13,3,3,3,3
14,3,3,3,3
15,3,3,3,3
16,3,3,3,3
17,3,3,3,3
18,3,3,3,3
19,3,3,3,3
20,3,3,3,3
21,3,3,3,3
22,3,3,3,3
23,3,3,3,3
24,3,3,3,3
25,3,3,3,3
26,3,3,3,3
27,3,3,3,3
28,3,3,3,3
29,3,3,3,3
30,3,3,3,3
31,3,3,3,3
32,3,3,3,3
33,3,3,3,3
34,3,3,3,3
35,3,3,3,3
36,3,3,3,3
37,3,3,3,3
38,3,3,3,3
39,3,3,3,3
40,3,3,3,3
41,3,3,3,3
42,3,2,3,3
43,3,2,3,3
44,3,2,3,3
45,3,2,3,3
46,3,2,3,3
47,3,2,3,3
48,3,2,3,3
49,3,2,3,3
50,3,2,2,3
51,3,2,2,3
52,3,2,2,3
53,3,2,2,3
54,3,2,2,3
55,3,2,2,3
56,3,2,2,3
57,3,2,2,3
58,3,2,2,3
59,3,2,2,3
60,3,2,2,3
61,3,2,2,3
62,3,2,2,3
63,3,2,2,3
64,3,2,2,3
65,3,2,2,3
66,3,2,2,3
67,3,2,2,3
68,3,2,2,3
69,3,2,2,3
70,3,2,2,3
71,3,2,2,3
72,3,2,2,3
73,3,2,3,3
74,3,2,3,3
75,3,2,3,3
76,3,2,3,3
77,3,2,3,3
78,3,2,3,3
79,3,2,3,3
80,3,2,3,3
81,3,2,3,3
82,3,2,3,3
83,3,2,3,3
84,3,2,3,3
85,4,2,3,3
86,4,2,3,4
87,4,2,3,4
88,4,2,3,4
89,4,2,3,4
90,4,2,3,4
91,4,2,3,4
92,4,2,3,4
93,4,2,3,4
94,4,3,3,4
95,4,3,3,4
96,4,3,3,4
97,4,3,3,4
98,4,3,3,4
99,4,3,3,4
100,4,3,3,4
101,4,3,3,4
102,4,3,3,4
103,4,3,3,4
104,3,3,3,4
105,3,3,3,2
106,3,3,3,2
107,3,3,3,2
108,3,3,3,2
109,3,3,3,2
110,3,3,3,2
111,3,3,3,2
112,3,3,3,2
113,3,3,3,2
114,3,3,3,2
115,3,3,3,2
116,3,3,3,2
117,3,3,3,2
118,3,3,3,2
119,3,3,3,2
120,3,3,3,2
121,3,3,3,2
122,3,3,3,2
123,4,3,3,3
124,4,3,3,4
125,4,3,3,4
126,4,3,3,4
127,4,3,3,4
128,4,3,3,4
129,4,3,3,4
130,4,3,3,4
131,4,3,3,4
132,4,3,3,4
133,4,3,3,4
134,4,3,3,4
135,4,3,3,4
136,4,3,3,4
137,4,3,3,4
138,4,4,3,4
139,4,4,3,4
140,4,4,3,4
141,4,4,3,4
142,4,4,3,4
143,4,4,3,4
144,4,4,3,4
145,4,4,3,4
146,4,4,3,4
147,4,4,3,4
148,4,4,3,4
149,4,4,3,4
150,4,4,3,4
151,4,4,3,4
152,4,4,3,4
153,4,4,3,4
154,4,4,3,4
155,4,4,3,4
156,4,4,3,4
157,4,4,3,4
158,4,4,3,4
159,3,3,3,4
160,3,3,3,3
161,3,3,3,3
162,3,3,3,3
163,3,3,3,3
164,3,3,3,3
165,3,3,3,3
166,3,3,3,3
167,3,3,3,3
168,3,3,3,3
169,3,3,3,3
170,3,3,3,3
171,3,3,3,3
172,3,3,3,3
173,3,3,3,3
174,3,3,3,3
175,3,3,3,3
176,3,3,3,3
177,3,3,3,3
178,3,3,4,3
179,4,3,4,3
180,4,3,4,4
181,4,4,4,4
182,4,4,4,4
183,4,4,4,4
184,4,4,4,4
185,4,4,4,4
186,4,4,4,4
187,4,4,4,4
188,4,4,4,4
189,4,4,4,4
190,4,4,4,4
191,4,4,4,4
192,4,4,4,4
193,4,4,4,4
194,4,4,4,4
195,4,4,4,4
196,4,4,4,4
197,3,4,4,3
198,3,4,4,3
199,3,3,4,3
200,3,3,3,3
201,3,3,3,3
202,3,3,3,3
203,3,3,3,3
204,3,3,3,3
205,3,3,3,3
206,3,3,3,3
207,3,3,3,3
208,3,3,3,3
209,3,3,3,3
210,3,3,3,3
211,3,3,3,3
212,3,3,3,3
213,3,3,3,3
214,3,3,3,3
215,3,3,3,3
216,3,3,3,3
217,3,3,3,3
218,3,3,3,3
219,3,3,3,3
220,3,3,3,3
221,3,3,3,3
222,3,3,3,3
223,3,3,3,3
224,3,3,3,3
225,3,3,3,3
226,3,3,3,3
227,3,3,3,3
228,3,3,3,3
229,3,3,3,3
230,3,3,3,3
231,3,3,3,3
232,3,3,3,3
233,3,3,3,3
234,3,3,3,3
235,3,3,3,3
236,3,3,3,3
237,3,3,3,3
238,3,3,3,3
239,3,3,3,3
240,3,3,4,3
241,3,3,4,3
242,3,3,4,3
243,3,3,4,3
244,3,3,4,3
245,3,3,4,3
246,3,3,4,3
247,3,3,4,3
248,3,3,4,3
249,3,3,4,3
250,3,3,4,3
251,3,3,4,3
252,3,3,4,3
253,3,3,4,3
254,3,3,4,3
255,3,3,4,3
256,3,3,4,3
257,3,3,4,3
258,3,3,4,3
259,3,3,4,3
260,3,3,4,3
261,3,3,3,3
262,3,3,3,3
263,3,3,3,3
264,3,3,3,3
265,3,3,3,3
266,3,3,3,3
267,3,3,3,3
268,3,3,3,3
269,3,3,3,3
270,3,3,3,3
271,3,3,3,2
272,3,3,3,3
273,3,3,3,3
274,3,3,3,3
275,3,3,3,3
276,3,3,3,3
277,3,3,3,3
278,3,3,3,3
279,3,3,3,3
280,4,3,3,4
281,4,3,4,4
282,4,3,4,4
283,4,3,4,4
284,4,3,4,4
285,4,3,4,4
286,4,3,4,4
287,4,3,4,4
288,4,3,4,4
289,4,3,4,4
290,4,3,4,4
291,4,3,4,4
292,4,3,4,4
293,4,3,4,4
294,4,3,4,4
295,4,3,4,4
296,4,4,4,4
297,4,4,4,4
298,4,4,4,4
299,4,4,4,4
300,4,4,4,4
301,4,4,4,4
302,4,4,4,4
303,4,4,4,4
304,4,4,4,4
305,4,4,4,4
306,4,4,4,4
307,4,4,4,4
308,4,4,4,4
309,4,4,4,4
310,4,3,4,4
311,4,2,4,4
312,4,2,4,4
313,4,2,4,3
314,4,3,4,3
315,4,3,4,3
316,4,3,4,3
317,4,3,4,3
318,4,3,4,3
319,4,3,4,3
320,4,3,4,3
321,4,3,4,3
322,4,3,4,3
323,4,3,4,3
324,4,3,4,3
325,4,3,4,3
326,4,3,4,3
327,4,2,4,3
328,4,2,4,3
329,4,2,4,3
330,4,2,4,3
331,4,2,4,3
332,4,2,4,3
333,4,2,4,3
334,4,1,4,3
335,4,2,4,3
336,4,2,4,3
337,4,2,4,3
338,4,2,4,3
339,4,2,4,3
340,5,2,4,4
341,5,2,4,4
342,5,2,4,4
343,5,2,4,4
344,5,1,4,4
345,5,1,5,4
346,5,1,5,4
347,5,1,5,4
348,5,1,5,4
349,5,1,5,4
350,5,1,5,4
351,5,1,5,4
352,5,3,5,4
353,5,3,5,3
354,5,3,5,3
355,5,3,5,3
356,5,3,5,3
357,5,3,5,3
358,5,3,4,4
359,5,2,4,4
360,5,2,4,4
361,5,2,4,4
362,5,2,4,4
363,5,2,4,4
364,5,1,4,4
365,6,1,4,5
366,6,1,4,5
367,6,5,4,5
368,6,5,4,5
369,6,4,4,5
370,6,4,4,5
371,6,4,4,5
372,6,4,4,5
373,6,4,4,5
374,6,4,4,5
375,6,4,4,5
376,5,4,4,4
377,5,4,6,4
378,5,4,6,4
379,5,3,6,4
380,5,3,6,4
381,5,3,6,4
382,5,3,6,4
383,5,3,6,4
384,5,3,6,4
385,5,3,6,4
386,5,3,6,4
387,5,3,6,4
388,4,3,6,4
389,4,3,4,3
390,4,3,4,3
391,4,3,4,3
392,4,3,4,3
393,4,2,4,3
394,4,2,4,3
395,4,2,4,3
396,4,2,4,3
397,4,3,4,3
398,4,3,4,3
399,4,3,4,3
400,4,3,4,4
401,4,3,4,4
402,3,3,3,4
403,3,3,3,3
404,3,3,3,2
405,3,3,3,2
406,3,3,3,3
407,3,3,3,2
408,3,3,3,2
409,3,3,3,3
410,3,3,3,2
411,3,3,3,3
412,3,3,3,3
413,3,3,3,3
414,3,3,3,3
415,3,3,3,3
416,3,3,3,2
417,3,3,3,2
418,3,3,3,2
419,4,3,5,3
420,4,3,5,3
421,4,3,5,3
422,4,3,5,3
423,4,3,5,3
424,4,3,5,3
425,4,3,5,3
426,4,3,5,3
427,4,3,5,3
428,4,4,5,3
429,4,4,5,3
430,4,4,5,3
431,4,4,5,3
432,4,4,5,3
433,4,4,4,3
434,4,4,4,3
435,4,4,4,3
436,4,4,4,2
437,4,4,4,2
438,4,4,4,2
439,4,4,4,2
440,4,4,4,2
441,4,4,4,2
442,4,4,4,2
443,4,4,4,2
444,4,4,4,2
445,4,4,4,2
446,4,4,4,2
447,4,4,4,2
448,4,4,4,2
449,4,4,4,2
450,4,4,4,2
451,4,4,4,2
452,4,4,4,2
453,4,4,4,1
454,4,4,4,1
455,4,4,4,1
456,4,4,4,1
457,4,4,4,1
458,4,4,4,1
459,4,4,4,1
460,4,3,4,1
461,4,3,4,1
462,4,3,4,2
463,4,3,4,1
464,4,3,4,1
465,4,3,4,1
466,4,3,4,1
467,4,3,4,1
468,4,2,4,1
469,4,2,4,1
470,4,2,4,2
471,4,2,4,2
472,4,2,4,2
473,4,2,4,2
474,4,2,4,2
475,4,2,4,2
476,4,2,4,2
477,4,2,4,2
478,4,2,4,2
479,4,2,4,2
480,4,2,4,3
481,4,2,4,2
482,4,3,4,2
483,4,3,4,2
484,4,3,4,2
485,4,3,4,2
486,4,3,4,2
487,4,3,4,2
488,4,3,4,2
489,4,3,4,2
490,4,3,4,2
491,4,3,4,2
492,4,3,4,2
493,4,3,4,2
494,4,3,4,2
495,4,3,4,2
496,4,3,4,2
497,4,3,4,2
498,4,3,4,2
499,4,3,4,2
500,4,3,4,2
501,4,3,4,2
502,4,3,4,2
503,4,3,4,2
504,3,3,4,2
505,3,3,4,2
506,3,3,4,2
507,3,3,4,2
508,3,3,4,2
509,3,3,4,2
510,3,3,4,2
511,3,3,3,2
512,3,3,3,2
513,3,3,3,2
514,3,3,3,2
515,3,3,3,2
516,3,3,3,2
517,3,3,3,2
518,3,3,3,3
519,3,3,3,2
520,3,3,3,2
521,3,3,3,2
522,3,3,3,2
523,3,3,3,2
524,3,3,3,2
525,3,3,3,2
526,3,3,3,2
527,3,3,3,2
528,3,3,3,2
529,3,3,3,2
530,3,3,3,2
531,3,3,3,2
532,3,3,3,2
533,3,3,3,2
534,3,3,3,2
535,3,3,3,2
536,3,3,3,2
537,3,3,3,2
538,3,3,3,2
539,3,3,3,2
540,3,3,3,2
541,3,3,3,2
542,4,3,3,2
543,4,3,3,3
544,4,3,3,3
545,4,3,3,3
546,4,3,4,3
547,4,3,4,3
548,4,3,4,3
549,4,3,4,3
550,4,3,4,3
551,4,3,4,3
552,4,3,4,3
553,4,3,4,3
554,4,3,4,3
555,4,3,4,3
556,4,3,4,3
557,5,3,4,3
558,5,3,4,4
559,5,5,5,4
560,5,4,5,4
561,5,4,5,3
562,5,4,5,4
563,5,4,5,3
564,5,4,5,3
565,5,4,5,3
566,5,4,5,3
567,5,4,5,3
568,5,4,5,4
569,5,4,5,3
570,4,4,5,3
571,4,4,4,3
572,4,4,4,3
573,4,4,4,3
574,4,4,4,3
575,4,4,4,3
576,4,4,4,3
577,4,4,4,3
578,4,4,4,3
579,4,4,4,3
580,4,4,4,3
581,4,4,4,3
582,4,4,4,3
583,4,4,4,3
584,4,4,4,3
585,4,4,4,3
586,4,4,4,3
587,4,4,4,3
588,4,4,4,3
589,4,4,4,3
590,4,4,4,3
591,4,4,4,3
592,4,4,4,3
593,4,4,4,3
594,4,4,4,3
595,4,4,4,3
596,4,4,4,3
597,4,4,4,3
598,4,4,4,3
599,4,4,4,3
600,4,4,4,3
601,4,4,4,3
602,4,4,4,3
603,4,4,4,3
604,4,4,4,3
